NAME,BUS,COMMUNITY,BASE_KW,NOMINAL_CAPACITY_[KWH],SOC_MAX,SOC_MIN,SOC_INIT,CHARGE_EFF,DISCHARGE_EFF,CHARGE_RATE,DISCHARGE_RATE,AUTODISCHARGE_RATE,LOADSHAPE
BAT1FFLX001,BUSLVFLX1299,1,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT1FFLX002,BUSLVFLX1328,1,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT1FFLX003,BUSLVFLX1341,1,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT1FFLX004,BUSLVFLX1371,1,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT1FFLX005,BUSLVFLX1393,1,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT1FFLX006,BUSLVFLX1303,2,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT1FFLX007,BUSLVFLX1397,2,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT1FFLX008,BUSLVFLX1350,3,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT3FFLX009,BUSLVFLX1264,4,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT3FFLX010,BUSLVFLX1270,4,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT3FFLX011,BUSLVFLX1271,4,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT3FFLX012,BUSLVFLX1272,4,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT1FFLX013,BUSLVFLX480,5,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT1FFLX014,BUSLVFLX915,5,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT1FFLX015,BUSLVFLX991,5,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT3FFLX016,BUSLVFLX1069,5,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT1FFLX017,BUSLVFLX650,5,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT1FFLX018,BUSLVFLX469,5,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT1FFLX019,BUSLVFLX767,5,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT3FFLX020,BUSLVFLX1122,5,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT1FFLX021,BUSLVFLX397,5,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT1FFLX022,BUSLVFLX318,5,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT1FFLX023,BUSLVFLX980,5,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT1FFLX024,BUSLVFLX1049,5,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT1FFLX025,BUSLVFLX964,5,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT3FFLX027,BUSLVFLX1100,5,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT1FFLX028,BUSLVFLX743,5,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT1FFLX029,BUSLVFLX890,5,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT1FFLX030,BUSLVFLX1053,5,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT1FFLX031,BUSLVFLX375,5,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT3FFLX032,BUSLVFLX1082,5,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT1FFLX033,BUSLVFLX1057,5,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT1FFLX034,BUSLVFLX932,5,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT1FFLX035,BUSLVFLX303,5,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
