NAME,BUS,BASE_KV,PHASES,BASE_KVA,PF,BASE_KW,GEN_SHAPE,COMMUNITY
PV1FFLX001,BUSLVFLX1295,0.24,1,1,1,1,PVprofile,1
PV1FFLX002,BUSLVFLX1299,0.24,1,1,1,1,PVprofile,1
PV1FFLX003,BUSLVFLX1300,0.24,1,1,1,1,PVprofile,1
PV1FFLX004,BUSLVFLX1328,0.24,1,1,1,1,PVprofile,1
PV1FFLX005,BUSLVFLX1341,0.24,1,1,1,1,PVprofile,1
PV1FFLX006,BUSLVFLX1348,0.24,1,1,1,1,PVprofile,1
PV1FFLX007,BUSLVFLX1353,0.24,1,1,1,1,PVprofile,1
PV1FFLX008,BUSLVFLX1371,0.24,1,1,1,1,PVprofile,1
PV1FFLX009,BUSLVFLX1372,0.24,1,1,1,1,PVprofile,1
PV1FFLX010,BUSLVFLX1378,0.24,1,1,1,1,PVprofile,1
PV1FFLX011,BUSLVFLX1382,0.24,1,1,1,1,PVprofile,1
PV1FFLX012,BUSLVFLX1385,0.24,1,1,1,1,PVprofile,1
PV1FFLX013,BUSLVFLX1386,0.24,1,1,1,1,PVprofile,1
PV1FFLX014,BUSLVFLX1393,0.24,1,1,1,1,PVprofile,1
PV1FFLX015,BUSLVFLX1396,0.24,1,1,1,1,PVprofile,1
