NAME,BASE_KV,LATITUDE,LONGITUDE
BUSMVFLX1,19.91858428704209,486060.6791000007,1097518.4130000004
BUSMV_TERSUB,34.5,486060.538,1097517.518
BUSMVFLX2,19.9186,486059.2596,1097518.803
BUSMVFLX3,19.9186,486058.9107,1097520.125
BUSMVFLX4,19.9186,486059.5633,1097522.281
BUSMVFLX5,19.9186,486400.5263,1097595.323
BUSMVFLX6,19.9186,486397.1443,1097595.703
BUSMVFLX7,19.9186,486021.4858,1097608.365
BUSMVFLX8,19.9186,486162.0791,1097748.614
BUSMVFLX9,19.9186,486112.5416,1097761.846
BUSMVFLX10,19.9186,486114.9783,1097768.725
BUSMVFLX11,19.9186,486143.3922,1097753.665
BUSMVFLX12,19.9186,486160.9111,1097785.519
BUSMVFLX13,19.9186,486059.2303,1097805.528
BUSMVFLX14,19.9186,485827.38,1097970.469
BUSMVFLX15,19.9186,485828.6396,1097971.829
BUSMVFLX16,19.9186,485830.3691,1097972.147
BUSMVFLX17,19.9186,485824.7278,1097976.297
BUSMVFLX18,19.9186,485817.1525,1098073.707
BUSMVFLX19,19.9186,485815.8222,1098073.831
BUSMVFLX20,19.9186,486199.3497,1098195.961
BUSMVFLX21,19.9186,486125.8736,1098222.032
BUSMVFLX22,19.9186,486027.9827,1098254.354
BUSMVFLX23,19.9186,486021.2885,1098265.471
BUSMVFLX24,19.9186,485906.7905,1098339.72
BUSMVFLX25,19.9186,485905.9413,1098340.4
BUSMVFLX26,19.9186,485721.2086,1098491.253
BUSMVFLX27,19.9186,485671.2577,1098496.198
BUSMVFLX28,19.9186,485671.1614,1098497.773
BUSMVFLX29,19.9186,485671.0976,1098498.815
BUSMVFLX30,19.9186,485667.165,1098499.126
BUSMVFLX31,19.9186,485669.9884,1098516.95
BUSMVFLX32,19.9186,485671.4225,1098552.314
BUSMVFLX33,19.9186,485714.2,1098572.959
BUSMVFLX34,19.9186,485761.3659,1098608.142
BUSMVFLX35,19.9186,485802.6966,1098640.303
BUSMVFLX36,19.9186,485890.0006,1098703.025
BUSMVFLX37,19.9186,485889.6468,1098704.335
BUSMVFLX38,19.9186,485890.6047,1098705.193
BUSMVFLX39,19.9186,485891.0727,1098704.985
BUSMVFLX40,19.9186,485879.1649,1098710.549
BUSMVFLX41,19.9186,485897.7318,1098727.041
BUSMVFLX42,19.9186,485891.0423,1098738.61
BUSMVFLX43,19.9186,485961.2383,1098784.169
BUSMVFLX44,19.9186,485823.8715,1098817.117
BUSMVFLX45,19.9186,485781.9879,1098859.447
BUSMVFLX46,19.9186,486035.6905,1098860.89
BUSMVFLX47,19.9186,485770.9897,1098872.305
BUSMVFLX48,19.9186,485781.1858,1098883.129
BUSMVFLX49,19.9186,485747.9167,1098896.423
BUSMVFLX50,19.9186,485815.5831,1098909.09
BUSMVFLX51,19.9186,485812.8914,1098910.407
BUSMVFLX52,19.9186,486063.0291,1098910.62
BUSMVFLX53,19.9186,485733.8636,1098911.567
BUSMVFLX54,19.9186,485813.2414,1098912.919
BUSMVFLX55,19.9186,486068.1017,1098913.955
BUSMVFLX56,19.9186,485687.5837,1098966.817
BUSMVFLX57,19.9186,486224.1119,1099056.83
BUSMVFLX58,19.9186,486348.725,1099167.783
BUSMVFLX59,19.9186,486492.1909,1099235.126
BUSMVFLX60,19.9186,486491.0069,1099234.381
BUSMVFLX61,19.9186,486492.9683,1099233.542
BUSMVFLX62,19.9186,486476.3931,1099236.706
BUSMVFLX63,19.9186,486546.7522,1099292.274
BUSMVFLX64,19.9186,486545.8079,1099292.071
BUSMVFLX65,19.9186,486545.8087,1099292.987
BUSMVFLX66,19.9186,486546.036,1099293.234
BUSMVFLX67,19.9186,486545.5771,1099293.742
BUSMVFLX68,19.9186,486577.5781,1099323.091
BUSMVFLX69,19.9186,486398.3643,1097594.292
BUSMVFLX70,19.9186,485974.6135,1098192.492
BUSMVFLX71,19.9186,485807.3222,1098074.025
BUSMVFLX72,19.9186,486062.1208,1097519.955
BUSMVFLX73,19.9186,486061.3874,1097520.959
BUSMVFLX74,19.9186,486163.2013,1097751.064
BUSMVFLX75,19.9186,486161.8288,1097752.367
BUSMVFLX76,19.9186,486060.1179,1097806.711
BUSMVFLX77,19.9186,486061.4502,1097810.074
BUSMVFLX78,19.9186,486151.4269,1098234.072
BUSMVFLX79,19.9186,485907.2645,1098341.842
BUSMVFLX80,19.9186,485676.5214,1098490.194
BUSMVFLX81,19.9186,485676.5214,1098492.108
BUSMVFLX82,19.9186,485723.2454,1098493.467
BUSMVFLX83,19.9186,485724.9402,1098495.511
BUSMVFLX84,19.9186,485716.5278,1098569.562
BUSMVFLX85,19.9186,485715.4593,1098571.089
BUSMVFLX86,19.9186,485804.5225,1098635.8
BUSMVFLX87,19.9186,485805.5278,1098638.938
BUSMVFLX88,19.9186,485963.9193,1098784.528
BUSMVFLX89,19.9186,485964.9043,1098782.83
BUSMVFLX90,19.9186,485827.0605,1098817.256
BUSMVFLX91,19.9186,485702.3867,1098815.562
BUSMVFLX92,19.9186,485703.4337,1098819.247
BUSMVFLX93,19.9186,485700.0499,1098820.438
BUSMVFLX94,19.9186,485867.6081,1098854.949
BUSMVFLX95,19.9186,485869.3536,1098855.577
BUSMVFLX96,19.9186,485866.6585,1098855.634
BUSMVFLX97,19.9186,486038.3889,1098858.175
BUSMVFLX98,19.9186,486036.4798,1098858.689
BUSMVFLX99,19.9186,485775.5577,1098857.604
BUSMVFLX100,19.9186,485776.7387,1098859.904
BUSMVFLX101,19.9186,485783.7438,1098883.85
BUSMVFLX102,19.9186,485783.5475,1098881.35
BUSMVFLX103,19.9186,485900.8242,1098886.564
BUSMVFLX104,19.9186,485940.2683,1098832.574
BUSMVFLX105,19.9186,485688.3236,1098967.192
BUSMVFLX106,19.9186,485689.1797,1098968.117
BUSMVFLX107,19.9186,485805.1996,1099045.223
BUSMVFLX108,19.9186,485805.7005,1099045.712
BUSMVFLX109,19.9186,485806.3851,1099047.31
BUSMVFLX110,19.9186,486221.6297,1099057.023
BUSMVFLX111,19.9186,486219.4005,1099060.644
BUSMVFLX112,19.9186,486063.302,1099066.027
BUSMVFLX113,19.9186,486063.5415,1099066.225
BUSMVFLX114,19.9186,486063.8674,1099068.917
BUSMVFLX115,19.9186,486345.3187,1099167.451
BUSMVFLX116,19.9186,486342.7292,1099170.557
BUSMVFLX117,19.9186,486089.9216,1099256.025
BUSMVFLX118,19.9186,486092.8232,1099257.245
BUSMVFLX119,19.9186,486095.5559,1099260.244
BUSMVFLX120,19.9186,486055.6518,1099305.943
BUSMVFLX121,19.9186,485954.0672,1098410.116
BUSMVFLX122,19.9186,485997.2532,1098471.917
BUSMVFLX123,19.9186,486040.295,1098511.047
BUSMVFLX124,19.9186,486086.9964,1098553.831
