NAME,BUS_FROM,BUS_TO,LENGTH[M],GEOMETRY,BASE_KV
MV3PFLX0,BUSMVFLX1,BUSMVFLX4,4.0257,3FMV3/0AAC3/0AAC_H,19.9186
MV3PFLX1,BUSMVFLX3,BUSMVFLX2,1.3673,3FMV4CU3/0AAC_H,19.9186
MV3PFLX2,BUSMVFLX4,BUSMVFLX3,2.2526,3FMV4CU3/0AAC_H,19.9186
MV1PFLX3,BUSMVFLX73,BUSMVFLX72,1.2433,1FMV4CU3/0AAC_M,19.9186
MV1PFLX4,BUSMVFLX4,BUSMVFLX73,2.2528,1FMV4CU3/0AAC_M,19.9186
MV3PFLX5,BUSMVFLX4,BUSMVFLX7,94.1294,3FMV3/0AAC3/0AAC_H,19.9186
MV3PFLX6,BUSMVFLX6,BUSMVFLX5,3.4033,3FMV3/0AAC3/0AAC_H,19.9186
MV3PFLX7,BUSMVFLX6,BUSMVFLX69,1.8653,3FMV477AAC3/0AAC_H,19.9186
MV3PFLX8,BUSMVFLX8,BUSMVFLX6,280.4236,3FMV477AAC3/0AAC_H,19.9186
MV3PFLX9,BUSMVFLX7,BUSMVFLX9,178.4589,3FMV477AAC3/0AAC_H,19.9186
MV1PFLX10,BUSMVFLX8,BUSMVFLX74,2.6948,1FMV4CU3/0AAC_M,19.9186
MV1PFLX11,BUSMVFLX74,BUSMVFLX75,1.8925,1FMV4CU3/0AAC_M,19.9186
MV3PFLX12,BUSMVFLX11,BUSMVFLX8,19.3575,3FMV477AAC3/0AAC_H,19.9186
MV3PFLX13,BUSMVFLX9,BUSMVFLX10,7.2978,3FMV477AAC3/0AAC_H,19.9186
MV3PFLX14,BUSMVFLX10,BUSMVFLX11,32.1583,3FMV477AAC3/0AAC_H,19.9186
MV3PFLX15,BUSMVFLX10,BUSMVFLX13,66.8005,3FMV477AAC3/0AAC_H,19.9186
MV3PFLX16,BUSMVFLX11,BUSMVFLX12,36.3537,3FMV3/0AAC3/0AAC_H,19.9186
MV1PFLX17,BUSMVFLX13,BUSMVFLX76,1.479,1FMV4CU3/0AAC_M,19.9186
MV1PFLX18,BUSMVFLX76,BUSMVFLX77,3.6173,1FMV4CU3/0AAC_M,19.9186
MV3PFLX19,BUSMVFLX13,BUSMVFLX14,284.5349,3FMV477AAC3/0AAC_H,19.9186
MV3PFLX20,BUSMVFLX14,BUSMVFLX15,1.8537,3FMV4CU3/0AAC_H,19.9186
MV3PFLX21,BUSMVFLX14,BUSMVFLX17,6.4031,3FMV477AAC3/0AAC_H,19.9186
MV3PFLX22,BUSMVFLX15,BUSMVFLX16,1.7585,3FMV4CU3/0AAC_H,19.9186
