NAME,BUS,BASE_KV,BASE_KW,BASE_KVAR,PHASES,LOADSHAPE,KWH,COMMUNITY
1FFLX053,BUSLVFLX548,0.24,1.0,0.1,1,curve413_00R,408.03,1
1FFLX054,BUSLVFLX696,0.24,1.0,0.1,1,curve332_00R,330.55,1
1FFLX055,BUSLVFLX281,0.24,1.0,0.1,1,curve445_44R,447.58,1
1FFLX056,BUSLVFLX480,0.24,1.0,0.1,1,curve380_00R,384.16,1
1FFLX057,BUSLVFLX438,0.24,1.0,0.1,1,curve230_00R,229.37,1
3FFLX058,BUSLVFLX1288,0.24,1.0,0.1,3,curve325_00R,327.93,1
1FFLX059,BUSLVFLX552,0.24,1.0,0.1,1,curve299_22R,300.0,1
1FFLX060,BUSLVFLX915,0.24,1.0,0.1,1,curve242_00R,244.66,1
1FFLX061,BUSLVFLX410,0.24,1.0,0.1,1,curve292_50R,289.96,1
1FFLX062,BUSLVFLX991,0.24,1.0,0.1,1,curve445_44R,447.58,1
3FFLX063,BUSLVFLX1069,0.24,1.0,0.1,3,curve283_00R,284.9,1
1FFLX064,BUSLVFLX650,0.24,1.0,0.1,1,curve235_80R,235.67,1
3FFLX065,BUSLVFLX1278,0.24,1.0,0.1,3,curve275_00R,274.67,1
1FFLX066,BUSLVFLX748,0.24,1.0,0.1,1,curve325_00R,320.19,1
1FFLX067,BUSLVFLX116,0.24,1.0,0.1,1,curve313_00R,317.64,1
3FFLX068,BUSLVFLX1144,0.24,1.0,0.1,3,curve346_00R,343.99,1
1FFLX069,BUSLVFLX469,0.24,1.0,0.1,1,curve530_25R,532.63,1
1FFLX070,BUSLVFLX767,0.24,1.0,0.1,1,curve283_00R,287.43,1
1FFLX071,BUSLVFLX1028,0.24,1.0,0.1,1,curve369_00R,373.88,1
1FFLX072,BUSLVFLX75,0.24,1.0,0.1,1,curve269_45R,266.81,1
1FFLX073,BUSLVFLX724,0.24,1.0,0.1,1,curve470_34R,475.07,1
1FFLX074,BUSLVFLX60,0.24,1.0,0.1,1,curve459_00R,455.48,1
1FFLX075,BUSLVFLX308,0.24,1.0,0.1,1,curve304_21R,305.02,1
1FFLX076,BUSLVFLX50,0.24,1.0,0.1,1,curve325_00R,327.93,1
1FFLX077,BUSLVFLX459,0.24,1.0,0.1,1,curve530_25R,532.63,1
3FFLX078,BUSLVFLX1122,0.24,1.0,0.1,3,curve215_30R,215.84,1
1FFLX079,BUSLVFLX109,0.24,1.0,0.1,1,curve292_50R,289.96,1
1FFLX080,BUSLVFLX397,0.24,1.0,0.1,1,curve413_00R,417.5,1
1FFLX081,BUSLVFLX901,0.24,1.0,0.1,1,curve332_00R,330.55,1
1FFLX082,BUSLVFLX749,0.24,1.0,0.1,1,curve380_00R,384.16,1
1FFLX083,BUSLVFLX228,0.24,1.0,0.1,1,curve269_45R,266.81,1
3FFLX084,BUSLVFLX1229,0.24,1.0,0.1,3,curve230_00R,232.55,1
1FFLX085,BUSLVFLX318,0.24,1.0,0.1,1,curve353_33R,352.44,1
1FFLX086,BUSLVFLX82,0.24,1.0,0.1,1,curve283_00R,282.36,1
1FFLX087,BUSLVFLX100,0.24,1.0,0.1,1,curve269_45R,266.81,1
1FFLX088,BUSLVFLX207,0.24,1.0,0.1,1,curve299_22R,300.0,1
1FFLX089,BUSLVFLX944,0.24,1.0,0.1,1,curve230_00R,232.55,1
1FFLX090,BUSLVFLX980,0.24,1.0,0.1,1,curve242_00R,241.72,1
1FFLX091,BUSLVFLX134,0.24,1.0,0.1,1,curve283_00R,282.36,1
3FFLX092,BUSLVFLX1152,0.24,1.0,0.1,3,curve530_25R,532.63,1
1FFLX093,BUSLVFLX709,0.24,1.0,0.1,1,curve255_96R,256.01,1
1FFLX094,BUSLVFLX744,0.24,1.0,0.1,1,curve346_00R,349.59,1
1FFLX095,BUSLVFLX1049,0.24,1.0,0.1,1,curve369_00R,370.63,1
1FFLX096,BUSLVFLX964,0.24,1.0,0.1,1,curve215_30R,215.84,1
1FFLX097,BUSLVFLX231,0.24,1.0,0.1,1,curve481_00R,488.08,1
1FFLX098,BUSLVFLX829,0.24,1.0,0.1,1,curve304_21R,305.02,1
1FFLX099,BUSLVFLX976,0.24,1.0,0.1,1,curve269_45R,272.07,1
3FFLX100,BUSLVFLX1100,0.24,1.0,0.1,3,curve283_00R,284.9,1
1FFLX101,BUSLVFLX212,0.24,1.0,0.1,1,curve292_50R,292.47,1
1FFLX102,BUSLVFLX743,0.24,1.0,0.1,1,curve283_00R,279.81,1
1FFLX103,BUSLVFLX969,0.24,1.0,0.1,1,curve325_00R,320.19,1
3FFLX104,BUSLVFLX1203,0.24,1.0,0.1,3,curve264_00R,261.47,1
3FFLX105,BUSLVFLX1134,0.24,1.0,0.1,3,curve283_00R,279.81,1
1FFLX106,BUSLVFLX920,0.24,1.0,0.1,1,curve413_00R,412.64,1
1FFLX107,BUSLVFLX111,0.24,1.0,0.1,1,curve230_00R,229.37,1
1FFLX108,BUSLVFLX422,0.24,1.0,0.1,1,curve339_00R,338.53,1
1FFLX109,BUSLVFLX1129,0.24,1.0,0.1,1,curve255_96R,258.75,1
3FFLX110,BUSLVFLX1191,0.24,1.0,0.1,3,curve390_02R,395.42,1
1FFLX111,BUSLVFLX890,0.24,1.0,0.1,1,curve361_00R,364.33,1
1FFLX112,BUSLVFLX520,0.24,1.0,0.1,1,curve255_96R,258.75,1
1FFLX113,BUSLVFLX404,0.24,1.0,0.1,1,curve230_00R,229.37,1
1FFLX114,BUSLVFLX277,0.24,1.0,0.1,1,curve283_00R,282.36,1
