NAME,BUS,BASE_KV,BASE_KW,BASE_KVAR,PHASES,LOADSHAPE,KWH,COMMUNITY
1FFLX001,BUSLVFLX1295,0.24,1.0,0.1,1,curve506_00R,488.08,1
1FFLX002,BUSLVFLX1299,0.24,1.0,0.1,1,curve390_02R,428.16,1
1FFLX003,BUSLVFLX1300,0.24,1.0,0.1,1,curve255_96R,355.34,1
1FFLX004,BUSLVFLX1328,0.24,1.0,0.1,1,curve369_00R,219.54,1
1FFLX005,BUSLVFLX1341,0.24,1.0,0.1,1,curve481_00R,411.38,1
1FFLX006,BUSLVFLX1348,0.24,1.0,0.1,1,curve248_00R,382.12,1
1FFLX007,BUSLVFLX1353,0.24,1.0,0.1,1,curve275_00R,299.56,1
1FFLX008,BUSLVFLX1371,0.24,1.0,0.1,1,curve304_21R,277.43,1
1FFLX009,BUSLVFLX1372,0.24,1.0,0.1,1,curve423_36R,361.29,1
1FFLX010,BUSLVFLX1378,0.24,1.0,0.1,1,curve346_00R,199.92,1
1FFLX011,BUSLVFLX1382,0.24,1.0,0.1,1,curve242_00R,248.73,1
1FFLX012,BUSLVFLX1385,0.24,1.0,0.1,1,curve459_00R,270.47,1
1FFLX013,BUSLVFLX1386,0.24,1.0,0.1,1,curve304_21R,342.29,1
1FFLX014,BUSLVFLX1393,0.24,1.0,0.1,1,curve339_00R,358.77,1
1FFLX015,BUSLVFLX1396,0.24,1.0,0.1,1,curve269_45R,264.93,1
