NAME,BUS,BASE_KV,PHASES,BASE_KVA,PF,BASE_KW,GEN_SHAPE,COMMUNITY
PV1FFLX1,BUSLVFLX495,0.24,1,3,1,3,PVprofile,13
PV3FFLX2,BUSLVFLX1141,0.24,3,1,1,1,PVprofile,1
PV1FFLX3,BUSLVFLX180,0.24,1,3,1,3,PVprofile,20
PV1FFLX4,BUSLVFLX1195,0.24,1,3,1,3,PVprofile,29
PV1FFLX5,BUSLVFLX269,0.24,1,1,1,1,PVprofile,13
PV1FFLX6,BUSLVFLX795,0.24,1,1,1,1,PVprofile,17
PV3FFLX7,BUSLVFLX1122,0.24,3,1,1,1,PVprofile,3
PV1FFLX8,BUSLVFLX1026,0.24,1,3,1,3,PVprofile,12
PV1FFLX9,BUSLVFLX820,0.24,1,3,1,3,PVprofile,22
PV1FFLX10,BUSLVFLX997,0.24,1,3,1,3,PVprofile,17
