NAME,BUS,BASE_KV,PHASES,BASE_KVA,PF,BASE_KW,GEN_SHAPE,COMMUNITY
PV1FFLX016,BUSLVFLX1303,0.24,1,1,1,1,PVprofile,1
PV1FFLX017,BUSLVFLX1306,0.24,1,1,1,1,PVprofile,1
PV1FFLX018,BUSLVFLX1310,0.24,1,1,1,1,PVprofile,1
PV1FFLX019,BUSLVFLX1339,0.24,1,1,1,1,PVprofile,1
PV1FFLX020,BUSLVFLX1343,0.24,1,1,1,1,PVprofile,1
PV1FFLX021,BUSLVFLX1352,0.24,1,1,1,1,PVprofile,1
PV1FFLX022,BUSLVFLX1367,0.24,1,1,1,1,PVprofile,1
PV1FFLX023,BUSLVFLX1368,0.24,1,1,1,1,PVprofile,1
PV1FFLX024,BUSLVFLX1383,0.24,1,1,1,1,PVprofile,1
PV1FFLX025,BUSLVFLX1397,0.24,1,1,1,1,PVprofile,1
