DAY,HOUR,EXPORT_PRICE(R$/MWh),IMPORT_PRICE(R$/MWh)
01/01/19, 0, 77.801, 178.7
01/01/19, 1, 130.9775, 178.7
01/01/19, 2, 91.436, 178.7
01/01/19, 3, 90.0725, 178.7
01/01/19, 4, 140.522, 178.7
01/01/19, 5, 135.068, 178.7
01/01/19, 6, 77.801, 178.7
01/01/19, 7, 100.9805, 178.7
01/01/19, 8, 102.344, 178.7
01/01/19, 9, 77.801, 178.7
01/01/19, 10, 100.9805, 178.7
01/01/19, 11, 130.9775, 178.7
01/01/19, 12, 120.0695, 178.7
01/01/19, 13, 103.7075, 178.7
01/01/19, 14, 95.5265, 178.7
01/01/19, 15, 103.7075, 178.7
01/01/19, 16, 133.7045, 178.7
01/01/19, 17, 83.255, 178.7
01/01/19, 18, 121.433, 178.7
01/01/19, 19, 85.982, 178.7
01/01/19, 20, 77.801, 178.7
01/01/19, 21, 137.795, 178.7
01/01/19, 22, 137.795, 178.7
01/01/19, 23, 105.071, 178.7
02/01/19, 0, 179.5138, 182.53
02/01/19, 1, 177.1374, 182.53
02/01/19, 2, 179.0568, 182.53
02/01/19, 3, 178.0514, 182.53
02/01/19, 4, 179.8794, 182.53
02/01/19, 5, 178.5998, 182.53
02/01/19, 6, 179.788, 182.53
02/01/19, 7, 175.8578, 182.53
02/01/19, 8, 177.6858, 182.53
02/01/19, 9, 176.3148, 182.53
02/01/19, 10, 177.2288, 182.53
02/01/19, 11, 176.2234, 182.53
02/01/19, 12, 178.1428, 182.53
02/01/19, 13, 177.2288, 182.53
02/01/19, 14, 176.0406, 182.53
02/01/19, 15, 179.9708, 182.53
02/01/19, 16, 177.1374, 182.53
02/01/19, 17, 176.7718, 182.53
02/01/19, 18, 176.7718, 182.53
02/01/19, 19, 179.2396, 182.53
02/01/19, 20, 177.8686, 182.53
02/01/19, 21, 177.503, 182.53
02/01/19, 22, 179.4224, 182.53
02/01/19, 23, 178.417, 182.53
03/01/19, 0, 180.214, 183.71
03/01/19, 1, 178.846, 183.71
03/01/19, 2, 179.91, 183.71
03/01/19, 3, 178.922, 183.71
03/01/19, 4, 180.898, 183.71
03/01/19, 5, 180.214, 183.71
03/01/19, 6, 181.354, 183.71
03/01/19, 7, 181.734, 183.71
03/01/19, 8, 180.138, 183.71
03/01/19, 9, 181.05, 183.71
03/01/19, 10, 181.354, 183.71
03/01/19, 11, 181.582, 183.71
03/01/19, 12, 178.542, 183.71
03/01/19, 13, 180.898, 183.71
03/01/19, 14, 178.01, 183.71
03/01/19, 15, 179.302, 183.71
03/01/19, 16, 179.302, 183.71
03/01/19, 17, 179.53, 183.71
03/01/19, 18, 178.998, 183.71
03/01/19, 19, 180.214, 183.71
03/01/19, 20, 178.542, 183.71
03/01/19, 21, 179.682, 183.71
03/01/19, 22, 178.314, 183.71
03/01/19, 23, 180.898, 183.71
04/01/19, 0, 181.8382, 185.44
04/01/19, 1, 181.7338, 185.44
04/01/19, 2, 181.8382, 185.44
04/01/19, 3, 183.091, 185.44
04/01/19, 4, 183.4042, 185.44
04/01/19, 5, 183.8218, 185.44
04/01/19, 6, 181.786, 185.44
04/01/19, 7, 183.5086, 185.44
04/01/19, 8, 181.8904, 185.44
04/01/19, 9, 183.874, 185.44
04/01/19, 10, 182.2558, 185.44
04/01/19, 11, 182.4124, 185.44
04/01/19, 12, 182.7256, 185.44
04/01/19, 13, 183.7696, 185.44
04/01/19, 14, 184.0828, 185.44
04/01/19, 15, 181.9948, 185.44
04/01/19, 16, 183.4564, 185.44
