Date (month/day/year),Time,Export - Market price ($/MWh),Import - Market price ($/MWh)
7/1/2012,0:00:00,42,62
7/1/2012,0:30:00,41.1,61.1
7/1/2012,1:00:00,32.21,52.21
7/1/2012,1:30:00,32.23,52.23
7/1/2012,2:00:00,32.23,52.23
7/1/2012,2:30:00,32.23,52.23
7/1/2012,3:00:00,32.23,52.23
7/1/2012,3:30:00,32.23,52.23
7/1/2012,4:00:00,32.39,52.39
7/1/2012,4:30:00,32.75,52.75
7/1/2012,5:00:00,32.94,52.94
7/1/2012,5:30:00,32.92,52.92
7/1/2012,6:00:00,42,62
7/1/2012,6:30:00,41.19,61.19
7/1/2012,7:00:00,43.93,63.93
7/1/2012,7:30:00,49.81,69.81
7/1/2012,8:00:00,41.47,61.47
7/1/2012,8:30:00,42.97,62.97
7/1/2012,9:00:00,61.26,81.26
7/1/2012,9:30:00,51.29,71.29
7/1/2012,10:00:00,48.5,68.5
7/1/2012,10:30:00,39.24,59.24
7/1/2012,11:00:00,38.6,58.6
7/1/2012,11:30:00,38.6,58.6
7/1/2012,12:00:00,38.6,58.6
7/1/2012,12:30:00,38.6,58.6
7/1/2012,13:00:00,36.9,56.9
7/1/2012,13:30:00,33.3,53.3
7/1/2012,14:00:00,36.96,56.96
7/1/2012,14:30:00,39.99,59.99
7/1/2012,15:00:00,42.27,62.27
7/1/2012,15:30:00,49.22,69.22
7/1/2012,16:00:00,58.27,78.27
7/1/2012,16:30:00,65.1,85.1
7/1/2012,17:00:00,74.74,94.74
7/1/2012,17:30:00,79.59,99.59
7/1/2012,18:00:00,79.71,99.71
7/1/2012,18:30:00,79.65,99.65
7/1/2012,19:00:00,77.95,97.95
7/1/2012,19:30:00,76.94,96.94
7/1/2012,20:00:00,75.02,95.02
7/1/2012,20:30:00,75.4,95.4
7/1/2012,21:00:00,68.58,88.58
7/1/2012,21:30:00,66.3,86.3
7/1/2012,22:00:00,54.75,74.75
7/1/2012,22:30:00,38.6,58.6
7/1/2012,23:00:00,39.93,59.93
7/1/2012,23:30:00,40.2,60.2
7/2/2012,0:00:00,44.73,64.73
7/2/2012,0:30:00,39.41,59.41
7/2/2012,1:00:00,39.06,59.06
7/2/2012,1:30:00,36.15,56.15
7/2/2012,2:00:00,36.35,56.35
7/2/2012,2:30:00,36.48,56.48
7/2/2012,3:00:00,37.69,57.69
7/2/2012,3:30:00,40.23,60.23
7/2/2012,4:00:00,43.47,63.47
7/2/2012,4:30:00,37.57,57.57
7/2/2012,5:00:00,40.01,60.01
7/2/2012,5:30:00,51.89,71.89
7/2/2012,6:00:00,59.57,79.57
7/2/2012,6:30:00,69.03,89.03
7/2/2012,7:00:00,68.75,88.75
7/2/2012,7:30:00,67.73,87.73
7/2/2012,8:00:00,79.76,99.76
7/2/2012,8:30:00,76.55,96.55
7/2/2012,9:00:00,67.09,87.09
7/2/2012,9:30:00,90.02,110.02
7/2/2012,10:00:00,77.94,97.94
7/2/2012,10:30:00,69.89,89.89
7/2/2012,11:00:00,65.06,85.06
7/2/2012,11:30:00,65.06,85.06
7/2/2012,12:00:00,65.06,85.06
7/2/2012,12:30:00,65.85,85.85
7/2/2012,13:00:00,65.85,85.85
7/2/2012,13:30:00,65.85,85.85
7/2/2012,14:00:00,67.41,87.41
7/2/2012,14:30:00,65.9,85.9
7/2/2012,15:00:00,65.9,85.9
7/2/2012,15:30:00,71.88,91.88
7/2/2012,16:00:00,59.83,79.83
7/2/2012,16:30:00,67.06,87.06
7/2/2012,17:00:00,78.77,98.77
7/2/2012,17:30:00,83.97,103.97
7/2/2012,18:00:00,83.68,103.68
7/2/2012,18:30:00,84.56,104.56
7/2/2012,19:00:00,83.04,103.04
7/2/2012,19:30:00,78.41,98.41
7/2/2012,20:00:00,74.62,94.62
7/2/2012,20:30:00,70.58,90.58
7/2/2012,21:00:00,74.04,94.04
7/2/2012,21:30:00,71.21,91.21
7/2/2012,22:00:00,48.39,68.39
7/2/2012,22:30:00,39.27,59.27
7/2/2012,23:00:00,35.87,55.87
7/2/2012,23:30:00,38.36,58.36
7/3/2012,0:00:00,40.2,60.2
7/3/2012,0:30:00,38.82,58.82
7/3/2012,1:00:00,37.2,57.2
7/3/2012,1:30:00,34.73,54.73
7/3/2012,2:00:00,34.79,54.79
7/3/2012,2:30:00,34.83,54.83
7/3/2012,3:00:00,34.79,54.79
7/3/2012,3:30:00,35.13,55.13
7/3/2012,4:00:00,34.84,54.84
7/3/2012,4:30:00,37.12,57.12
7/3/2012,5:00:00,39.21,59.21
7/3/2012,5:30:00,47.26,67.26
7/3/2012,6:00:00,38.66,58.66
7/3/2012,6:30:00,53.69,73.69
7/3/2012,7:00:00,100.31,120.31
7/3/2012,7:30:00,95.68,115.68
7/3/2012,8:00:00,90.01,110.01
7/3/2012,8:30:00,67.99,87.99
7/3/2012,9:00:00,70.3,90.3
