NAME,BUS,COMMUNITY,NOMINAL_CAPACITY,SOC_MAX,SOC_MIN,SOC_INIT,CHARGE_EFF,DISCHARGE_EFF,CHARGE_RATE,DISCHARGE_RATE,AUTODISCHARGE_RATE
BAT1FFLX3,BUSLVFLX837,1,1.65,0.8,0.2,0.5,0.96,0.96,0.5,0.9375,1.72171E-05
BAT2FFLX3,BUSLVFLX1204,2,1.65,0.8,0.2,0.5,0.96,0.96,0.5,0.9375,1.72171E-05
BAT3FFLX3,BUSLVFLX548,3,1.65,0.8,0.2,0.5,0.96,0.96,0.5,0.9375,1.72171E-05
BAT4FFLX3,BUSLVFLX1396,4,1.65,0.8,0.2,0.5,0.96,0.96,0.5,0.9375,1.72171E-05
BAT5FFLX3,BUSLVFLX823,5,3.3,0.8,0.2,0.5,0.96,0.96,0.5,0.9375,1.72171E-05
BAT6FFLX3,3FFLX2,6,3.3,0.8,0.2,0.5,0.96,0.96,0.5,0.9375,1.72171E-05
BAT7FFLX3,3FFLX2,7,3.3,0.8,0.2,0.5,0.96,0.96,0.5,0.9375,1.72171E-05
BAT8FFLX3,3FFLX2,8,3.3,0.8,0.2,0.5,0.96,0.96,0.5,0.9375,1.72171E-05
BAT9FFLX3,3FFLX2,9,3.3,0.8,0.2,0.5,0.96,0.96,0.5,0.9375,1.72171E-05
BAT10FFLX3,3FFLX2,10,6.6,0.8,0.2,0.5,0.96,0.96,0.5,0.9375,1.72171E-05
BAT11FFLX3,3FFLX2,11,6.6,0.8,0.2,0.5,0.96,0.96,0.5,0.9375,1.72171E-05
BAT12FFLX3,3FFLX2,12,9.9,0.8,0.2,0.5,0.96,0.96,0.5,0.9375,1.72171E-05
BAT13FFLX3,3FFLX2,13,9.9,0.8,0.2,0.5,0.96,0.96,0.5,0.9375,1.72171E-05
BAT14FFLX3,3FFLX2,14,23.1,0.8,0.2,0.5,0.96,0.96,0.5,0.9375,1.72171E-05
BAT15FFLX3,3FFLX2,15,23.1,0.8,0.2,0.5,0.96,0.96,0.5,0.9375,1.72171E-05
