NAME,BUS_FROM,BUS_TO,LENGTH[M],GEOMETRY,BASE_KV
LV3FFLX1,BUSLVFLX33,BUSLVFLX28,5.569,Geometry=3FLV6AAC6AAC,0.12
LV1FFLX2,BUSLVFLX34,BUSLVFLX4,4.6033,Linecode=TRPX6AAC,0.12
LV1FFLX3,BUSLVFLX35,BUSLVFLX2,14.3556,Linecode=TRPX6AAC,0.12
LV3FFLX4,BUSLVFLX36,BUSLVFLX37,120.7912,Geometry=3FLV6AAC6AAC,0.12
LV3FFLX5,BUSLVFLX37,BUSLVFLX29,12.2707,Geometry=3FLV6AAC6AAC,0.12
LV3FFLX6,BUSLVFLX38,BUSLVFLX37,135.0209,Geometry=3FLV6AAC6AAC,0.12
LV3FFLX7,BUSLVFLX1289,BUSLVFLX29,3.4264,Linecode=3FLV250CU250CU_XLP,0.12
LV1FFLX8,BUSLVFLX39,BUSLVFLX40,36.9059,Linecode=TRPX6AAC,0.12
LV1FFLX9,BUSLVFLX42,BUSLVFLX39,29.7372,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX10,BUSLVFLX41,BUSLVFLX42,14.5629,Linecode=TRPX6AAC,0.12
LV1FFLX11,BUSLVFLX44,BUSLVFLX42,68.9939,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX12,BUSLVFLX43,BUSLVFLX44,12.9112,Linecode=TRPX6AAC,0.12
LV1FFLX13,BUSLVFLX45,BUSLVFLX44,6.0407,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX14,BUSLVFLX46,BUSLVFLX45,4.4006,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX15,BUSLVFLX49,BUSLVFLX45,8.6869,Linecode=TRPX2AAC,0.12
LV1FFLX16,BUSLVFLX47,BUSLVFLX46,2.293,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX17,BUSLVFLX53,BUSLVFLX46,6.9211,Linecode=TRPX2AAC,0.12
LV1FFLX18,BUSLVFLX48,BUSLVFLX47,2.4637,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX19,BUSLVFLX56,BUSLVFLX47,6.4592,Linecode=TRPX6AAC,0.12
LV1FFLX20,BUSLVFLX52,BUSLVFLX48,3.672,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX21,BUSLVFLX59,BUSLVFLX48,6.2619,Linecode=TRPX4AAC,0.12
LV1FFLX22,BUSLVFLX50,BUSLVFLX49,2.8793,Linecode=TRPX6AAC,0.12
LV1FFLX23,BUSLVFLX51,BUSLVFLX49,3.4838,Linecode=TRPX6AAC,0.12
LV1FFLX24,BUSLVFLX54,BUSLVFLX49,3.5857,Linecode=TRPX6AAC,0.12
LV1FFLX25,BUSLVFLX55,BUSLVFLX49,2.608,Linecode=TRPX6AAC,0.12
LV1FFLX26,BUSLVFLX58,BUSLVFLX52,2.8736,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX27,BUSLVFLX60,BUSLVFLX52,5.9526,Linecode=TRPX6AAC,0.12
LV1FFLX28,BUSLVFLX57,BUSLVFLX58,18.8612,Linecode=TRPX6AAC,0.12
LV1FFLX29,BUSLVFLX62,BUSLVFLX58,10.5826,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX30,BUSLVFLX61,BUSLVFLX62,10.925,Linecode=TRPX6AAC,0.12
LV1FFLX31,BUSLVFLX63,BUSLVFLX62,5.9968,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX32,BUSLVFLX65,BUSLVFLX63,5.6286,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX33,BUSLVFLX67,BUSLVFLX63,10.5209,Linecode=TRPX6AAC,0.12
LV1FFLX34,BUSLVFLX64,BUSLVFLX65,11.7958,Linecode=TRPX6AAC,0.12
LV1FFLX35,BUSLVFLX66,BUSLVFLX65,5.3824,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX36,BUSLVFLX69,BUSLVFLX66,5.2143,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX37,BUSLVFLX74,BUSLVFLX66,11.0184,Linecode=TRPX6AAC,0.12
LV1FFLX38,BUSLVFLX68,BUSLVFLX69,10.9942,Linecode=TRPX6AAC,0.12
LV1FFLX39,BUSLVFLX73,BUSLVFLX69,3.8285,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX40,BUSLVFLX70,BUSLVFLX71,3.5046,Linecode=TRPX4AAC,0.12
LV1FFLX41,BUSLVFLX72,BUSLVFLX71,3.1523,Linecode=TRPX4AAC,0.12
LV1FFLX42,BUSLVFLX71,BUSLVFLX79,10.5122,Linecode=TRPX4AAC,0.12
LV1FFLX43,BUSLVFLX76,BUSLVFLX73,7.1357,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX44,BUSLVFLX78,BUSLVFLX73,9.9673,Linecode=TRPX6AAC,0.12
LV1FFLX45,BUSLVFLX75,BUSLVFLX76,14.6529,Linecode=TRPX6AAC,0.12
LV1FFLX46,BUSLVFLX77,BUSLVFLX76,1.568,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX47,BUSLVFLX79,BUSLVFLX77,3.4476,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX48,BUSLVFLX80,BUSLVFLX77,7.5035,Linecode=TRPX6AAC,0.12
LV1FFLX49,BUSLVFLX81,BUSLVFLX79,5.5171,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX50,BUSLVFLX83,BUSLVFLX81,1.214,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX51,BUSLVFLX84,BUSLVFLX81,7.3133,Linecode=TRPX4AAC,0.12
LV1FFLX52,BUSLVFLX82,BUSLVFLX83,12.7187,Linecode=TRPX6AAC,0.12
LV1FFLX53,BUSLVFLX85,BUSLVFLX83,10.1615,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX54,BUSLVFLX87,BUSLVFLX85,2.9899,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX55,BUSLVFLX88,BUSLVFLX85,9.5649,Linecode=TRPX6AAC,0.12
LV1FFLX56,BUSLVFLX86,BUSLVFLX87,13.7389,Linecode=TRPX6AAC,0.12
LV1FFLX57,BUSLVFLX90,BUSLVFLX87,10.5629,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX58,BUSLVFLX89,BUSLVFLX90,11.6077,Linecode=TRPX6AAC,0.12
LV1FFLX59,BUSLVFLX91,BUSLVFLX90,16.6857,Geometry=1FLV3/0AAC3/0AAC,0.12
