NAME,BUS,BASE_KV,BASE_KW,BASE_KVAR,PHASES,LOADSHAPE,KWH,COMMUNITY
3FFLX1,BUSLVFLX1188,0.24,1.0,0.1,3,curve313_00R,312.57,29
1FFLX2,BUSLVFLX564,0.24,1.0,0.1,1,curve369_00R,373.88,17
1FFLX3,BUSLVFLX536,0.24,1.0,0.1,1,curve275_00R,277.25,1
1FFLX4,BUSLVFLX1026,0.24,1.0,0.1,1,curve225_00R,222.78,12
3FFLX5,BUSLVFLX1137,0.24,1.0,0.1,3,curve380_00R,384.16,1
1FFLX6,BUSLVFLX61,0.24,1.0,0.1,1,curve445_44R,447.58,14
1FFLX7,BUSLVFLX886,0.24,1.0,0.1,1,curve401_82R,403.64,1
1FFLX8,BUSLVFLX837,0.24,1.0,0.1,1,curve459_00R,455.48,1
3FFLX9,BUSLVFLX1172,0.24,1.0,0.1,3,curve255_96R,258.75,18
1FFLX10,BUSLVFLX1011,0.24,1.0,0.1,1,curve413_00R,417.5,12
1FFLX11,BUSLVFLX847,0.24,1.0,0.1,1,curve470_34R,475.07,12
1FFLX12,BUSLVFLX791,0.24,1.0,0.1,1,curve339_00R,341.25,1
1FFLX13,BUSLVFLX367,0.24,1.0,0.1,1,curve219_48R,219.36,29
1FFLX14,BUSLVFLX948,0.24,1.0,0.1,1,curve264_00R,264.15,17
1FFLX15,BUSLVFLX893,0.24,1.0,0.1,1,curve423_36R,428.16,29
1FFLX16,BUSLVFLX758,0.24,1.0,0.1,1,curve401_82R,399.45,11
1FFLX17,BUSLVFLX798,0.24,1.0,0.1,1,curve242_00R,241.72,13
1FFLX18,BUSLVFLX155,0.24,1.0,0.1,1,curve390_02R,387.79,17
1FFLX19,BUSLVFLX323,0.24,1.0,0.1,1,curve459_00R,455.48,20
3FFLX20,BUSLVFLX1262,0.24,1.0,0.1,3,curve264_00R,261.47,12
3FFLX21,BUSLVFLX1138,0.24,1.0,0.1,3,curve230_00R,229.37,21
